TRAM,Rang,geometry_wkt
T04719W,20-25 µg/m³,"MULTILINESTRING ((2.1649863746351983 41.427800871781585, 2.1644120374128604 41.42787331343026))"
T19941Z,20-25 µg/m³,"MULTILINESTRING ((2.197570784767478 41.40492668721716, 2.1983676484845853 41.404419764459504))"
T18111R,20-25 µg/m³,"MULTILINESTRING ((2.1614945491405426 41.4419733680767, 2.1618300655002747 41.442091187513626, 2.1623527612338966 41.44229147097447))"
T03222Y,20-25 µg/m³,"MULTILINESTRING ((2.1383643473729683 41.376809985105965, 2.1383754396293737 41.377506791528944))"
T17625I,20-25 µg/m³,"MULTILINESTRING ((2.2096003335289356 41.420513867806804, 2.20869271392334 41.42120230005616))"
T05360P,20-25 µg/m³,"MULTILINESTRING ((2.1557418750488067 41.43425649902365, 2.1564305692126244 41.43490028330654))"
T08863T,20-25 µg/m³,"MULTILINESTRING ((2.1852913075529363 41.414284908850995, 2.1845439675326035 41.414828696874046))"
T00236S,20-25 µg/m³,"MULTILINESTRING ((2.187817451670903 41.3805263552636, 2.1880151054095474 41.38003351436878))"
T13009A,20-25 µg/m³,"MULTILINESTRING ((2.1761240082062803 41.46185178443311, 2.176277258145586 41.46193860462726, 2.1764388897731948 41.46200937932872, 2.1766388433612516 41.46208552609163, 2.176825923309762 41.46217791989637, 2.176902781401593 41.46228444164027, 2.1769614061660167 41.46243808584976, 2.1770229893861086 41.462535770121214, 2.1771045262959263 41.462591415291364, 2.177394078572138 41.4626833786603))"
T11921P,20-25 µg/m³,"MULTILINESTRING ((2.182480127588875 41.44350576029554, 2.181864528410402 41.443810792933526))"
T16868V,20-25 µg/m³,"MULTILINESTRING ((2.1051532901104144 41.38949694126502, 2.1052271060775167 41.389569016432326, 2.1054006134258794 41.389715538465474, 2.1055450498078807 41.389883497454306, 2.105623936748522 41.39000545025302, 2.105791033323786 41.39040977058177, 2.105838280354391 41.390741649486685))"
T02762R,25-30 µg/m³,"MULTILINESTRING ((2.1320205015557554 41.37366127607359, 2.1312664116808695 41.37333877682559))"
T04571U,20-25 µg/m³,"MULTILINESTRING ((2.1718174990791392 41.424012842310326, 2.1718901066863476 41.42316713085826))"
T08170X,20-25 µg/m³,"MULTILINESTRING ((2.1545669484263614 41.39930202156992, 2.1554584903721037 41.3998405469314))"
T07536D,20-25 µg/m³,"MULTILINESTRING ((2.104300423829585 41.38913370321578, 2.1042480317490426 41.389180179700226, 2.1041147873338315 41.38957080722281, 2.104118246653406 41.389599387913314))"
T01076Y,25-30 µg/m³,"MULTILINESTRING ((2.174084198084522 41.38019889848405, 2.173268812954651 41.37941582343949))"
T21401B,20-25 µg/m³,"MULTILINESTRING ((2.2076328890131887 41.4365362387493, 2.207963035630781 41.436571585739856))"
T20087H,20-25 µg/m³,"MULTILINESTRING ((2.180823874365691 41.458868056252875, 2.180960738625627 41.45893622539492, 2.1811368819456765 41.459038289453794, 2.181288018942922 41.4591551006961, 2.1814472271495666 41.45932143785946, 2.1815489380259896 41.45942296301169, 2.1816470663296728 41.459513266387276, 2.1817077112649246 41.45952489369143, 2.181767498029162 41.45950665527921, 2.181800350388099 41.45945928457986, 2.1817971543378114 41.45941726028186, 2.1817667545072332 41.45936851225695, 2.1816758856874534 41.459293194881305, 2.1815446333390933 41.45917278744306, 2.181471775423768 41.45907825902772))"
T00497L,25-30 µg/m³,"MULTILINESTRING ((2.181475352638949 41.385791068933166, 2.18166199730857 41.38566276807204))"
T02457L,15-20 µg/m³,"MULTILINESTRING ((2.1448868087356647 41.38564267893548, 2.1453915588630115 41.386021643231686, 2.146009091559872 41.3864882292024))"
